"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://alkonorm.ru/","1","Пьёте больше, чем хотите — но бросать не планируете? КУ — система личных норм и учёта. Программа 7 шагов, форум поддержки, практические статьи. Без осуждения.","158","1116","Indexable",""
"https://alkonorm.ru/articles/uchet-epizodov-ku.html","1","Три уровня плана КУ (стратегия, месячный план, тактика) и принципы анализа каждого эпизода. Малодозное употребление как инструмент — из книги «На краю Синей Бездны»","164","1174","Indexable",""
"https://alkonorm.ru/articles/kniga-ku.html","1","Книга о том, как вернуть управляемость употреблению алкоголя без рехабов и докторов. Практическое руководство по системе КУ. Выход — июнь 2026.","143","1017","Indexable",""
"https://alkonorm.ru/articles/7-shagov-ku.html","1","Программа 7 шагов КУ: от решения изменить отношение к алкоголю до устойчивого результата. Стратегия, личные нормы, учёт и разбор сбоев — всё пошагово.","150","1063","Indexable",""
"https://alkonorm.ru/articles/soobschestvo.html","1","КУфорум — сообщество людей, которые выбрали стратегию контроля алкоголя. Горизонтальная поддержка, Канон, марафон и открытые дискуссии без осуждения.","149","1094","Indexable",""
"https://alkonorm.ru/articles/chto-takoe-ku.html","1","Контролируемое употребление алкоголя (КУ) — система личных правил и учёта для тех, кто хочет пить меньше, но не бросать. Что это, кому подходит, цифры в ЛЧА, принципы и FAQ.","173","1206","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/","1","Как меньше пить: стратегии для тех, кто пьёт каждый вечер, срывается в компании или не может остановиться. Конкретные приёмы без полного отказа от алкоголя.","156","1100","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/alkogol-v-kompanii.html","1","Можно ли пить алкоголь в компании и сохранять контроль? Почему люди пьют за компанию, как работает социальное давление и правильное употребление алкоголя с друзьями без похмелья.","178","1284","Indexable",""
"https://alkonorm.ru/articles/test-gotovnost-k-izmeneniyam.html","1","Скрининг-тест на готовность к изменениям в логике Шага 1 программы КУ. 12 вопросов, автоматический подсчёт баллов, интерпретация и анализ «красных зон».","152","1079","Indexable",""
"https://alkonorm.ru/articles/test-veroyatnost-ku.html","1","20 вопросов для оценки вероятности успешного контролируемого употребления алкоголя. Автоматический подсчёт с инверсией рисковых вопросов, интерпретация результата и анализ красных флагов.","187","1349","Indexable",""
"https://alkonorm.ru/articles/tablitsa-ucheta-ku.html","1","Как вести количественный и качественный учёт эпизодов употребления: Excel-таблица, мобильные приложения и колонка последствий — из книги «На краю Синей Бездны»","159","1144","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/test-audit.html","1","Тест AUDIT — 10 вопросов для выявления рискованного и вредного употребления алкоголя, а также вероятной алкогольной зависимости. Автоматический подсчёт с интерпретацией по 4 зонам риска с учётом пола.","200","1423","Indexable",""
"https://alkonorm.ru/articles/korrektsiyu-taktiki-ku.html","1","Как бороться с тягой к алкоголю: пять правил, протокол паузы, метод HALT, восточные практики и принципы АА — адаптация для контролируемого употребления","151","1080","Indexable",""
"https://alkonorm.ru/articles/korrektsiya-strategii-ku.html","1","Как скорректировать стратегию контролируемого употребления по итогам года: три этапа, разница между причиной и поводом, работа с шаблонами — из книги «На краю Синей Бездны»","172","1235","Indexable",""
"https://alkonorm.ru/articles/analiz-mesyatsa-ku.html","1","Как проводить ежемесячный анализ в КУ: типы эпизодов, нарушения, самочувствие, перерасход талонов и корректировка месячного плана — из книги «На краю Синей Бездны»","163","1174","Indexable",""
"https://alkonorm.ru/articles/kalendarnyy-plan-lcha.html","1","Как рассчитать суточный и годовой лимит лча, что такое умеренное употребление по данным науки и опыту форума, алгоритм месячного планирования.","142","1018","Indexable",""
"https://alkonorm.ru/articles/matrica-resheniy-ku.html","1","Как принять взвешенное решение о контролируемом употреблении — матрица из трёх слоёв: МКБ-11, ограничения, ресурсы. Из книги «На краю Синей Бездны».","148","1057","Indexable",""
"https://alkonorm.ru/articles/priznaki-oslableniya-ku.html","1","Пять ранних признаков ослабления системы контроля употребления алкоголя, ежемесячный техосмотр из 5 вопросов и алгоритм реакции — из программы 7 шагов КУ","153","1112","Indexable",""
"https://alkonorm.ru/articles/analiz-uspeshnosti-plana.html","1","Как оценить год контролируемого употребления: три критерия успешности, два признака работающего плана и что делать если год прошёл нормально — разбираем годовую проверку по шагу 5.","180","1286","Indexable",""
"https://alkonorm.ru/articles/reshenie-o-trezvosti.html","1","7 сигналов, что пора переходить на полную трезвость: повторяющиеся нарушения, потеря управляемости, вред здоровью и отношениям — Шаг 6 программы КУ","147","1063","Indexable",""
"https://alkonorm.ru/articles/chto-izmenit-ku.html","1","Что меняется на биологическом, психологическом и социальном уровне при переходе на контролируемое употребление — из книги «На краю Синей Бездны».","145","1042","Indexable",""
"https://alkonorm.ru/articles/resursy-ku.html","1","Какие биологические, психологические и социальные ресурсы повышают или снижают вероятность успешного контролируемого употребления — из книги «На краю Синей Бездны».","164","1200","Indexable",""
"https://alkonorm.ru/articles/reviziya-taktiki-znachimykh.html","1","Как провести ревизию тактики в значимых шаблонах употребления: что соблюдалось, что нарушалось, типичные тактические сбои и как их устранить — Шаг 6 программы КУ","161","1159","Indexable",""
"https://alkonorm.ru/articles/distsiplina-ucheta-ku.html","1","Зачем продолжать вести учёт, когда система КУ уже работает. Ядро системы, анализ эпизодов, признаки деформации контроля и порядок действий при нарушении — Шаг 7 программы КУ.","174","1249","Indexable",""
"https://alkonorm.ru/articles/sila-zavisimosti-mkb-11.html","1","Как оценить силу своей алкогольной зависимости по МКБ-11 и что это значит для выбора режима контролируемого употребления — из книги «На краю Синей Бездны».","155","1115","Indexable",""
"https://alkonorm.ru/articles/ogranicheniya-ku.html","1","Какие биологические, психологические и социальные ограничения делают контролируемое употребление алкоголя невозможным или опасным — из книги «На краю Синей Бездны».","164","1203","Indexable",""
"https://alkonorm.ru/articles/pamyat-o-strategii-ku.html","1","Как удерживать стратегию и тактику КУ в фокусе, когда система уже работает. Торговля с правилами, признаки рассинхронизации и формула стабильного КУ — Шаг 7 программы КУ.","170","1215","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/","1","Сколько можно пить алкоголя: нормы ВОЗ, NHS и The Lancet в граммах, рюмках и бокалах — в одной таблице. Допустимые дозы для мужчин и женщин. Влияние на печень, сон и давление.","175","1243","Indexable",""
"https://alkonorm.ru/articles/reviziya-shablonov-ku.html","1","Как провести ревизию шаблонов употребления алкоголя в КУ: надёжные шаблоны остаются как базовые, проблемные исключаются или переводятся в жёсткие ограничения.","158","1161","Indexable",""
"https://alkonorm.ru/articles/sovershenstvovanie-sistemy-ku.html","1","Как совершенствовать систему контроля употребления алкоголя: что упрощается со временем, что нельзя убирать, и как реагировать на нарушения не переписывая всё — из программы 7 шагов КУ","184","1313","Indexable",""
"https://alkonorm.ru/articles/test-plan-ku.html","1","Авторский скрининг-тест по оценке полноты и учёта личных особенностей плана контролируемого употребления алкоголя (Шаг 3). 12 вопросов, автоматический подсчёт, проверка индивидуальности плана.","192","1373","Indexable",""
"https://alkonorm.ru/articles/alkogol-v-otpuske.html","1","Сколько можно пить алкоголя в отпуске, какая допустимая норма в жару, как пить без похмелья на море и в путешествии. Практические рекомендации по алкоголю для путешественников.","176","1257","Indexable",""
"https://alkonorm.ru/articles/alkogol-v-prazdniki.html","1","Как пить алкоголь в праздники и не сожалеть: стратегия на несколько дней, паузы между застольями, контроль накопления. Новый год, майские, дни рождения — единый подход.","168","1188","Indexable",""
"https://alkonorm.ru/articles/karta-sayta/","1","Полная навигация по сайту alkonorm.ru: нормы алкоголя, как меньше пить, почему хочется алкоголя, признаки алкоголизма, программа 7 шагов КУ, книги и тесты.","155","1085","Indexable",""
"https://alkonorm.ru/articles/alkogol-na-korporative.html","1","Сколько можно пить на корпоративе, чтобы не пожалеть утром? Норма алкоголя, правильное употребление, как не напиться при начальстве и выйти без похмелья на работу.","163","1162","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/pochemu-hochetsya-pit.html","1","Почему хочется выпить: причины тяги к алкоголю вечером, после работы и от стресса. Как распознать свои триггеры и снизить желание выпить без полного отказа.","156","1098","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/","1","Почему хочется выпить: тяга вечером, стресс, скука, компания — механизм каждого триггера. Психология и биохимия тяги к алкоголю, и как снизить желание выпить.","158","1109","Indexable",""
"https://alkonorm.ru/articles/faq/","1","Ответы на частые вопросы о методе КУ: нормы алкоголя, как меньше пить, признаки зависимости, почему хочется выпить и как работает программа контролируемого употребления.","169","1215","Indexable",""
"https://alkonorm.ru/articles/cherez-skolko-mozhno-pit.html","1","Через сколько можно пить алкоголь снова: минимальный интервал, сколько дней выводится алкоголь и как правильно планировать паузы, чтобы сохранить контроль.","155","1125","Indexable",""
"https://alkonorm.ru/articles/analiz-narusheniy-strategii.html","1","Как анализировать нарушения стратегии КУ по итогам года: что считается системным сбоем, как сформулировать вывод без самобичевания и что делать, если план не сработал","166","1182","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/pochemu-lyudi-pyut/","1","Почему люди пьют алкоголь: 5 функций алкоголя — снятие стресса, вознаграждение, общение, ритуал, абстиненция. Как определить свою причину и найти замену.","153","1082","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kak-pit-i-ne-pyanet/","1","Печень перерабатывает в среднем ~10 г спирта за 1–1,5 часа. Конкретные правила контроля опьянения: темп, еда до начала, вода и лимит заранее — и почему кофе не помогает.","169","1180","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/alkogol-i-trevoga/","1","Алкоголь снижает тревогу на 1–2 часа, а затем усиливает её: мозг компенсирует ГАМК-угнетение обратным выбросом. Объясняем механизм и что с этим делать.","151","1072","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/norma-alkogolya/","1","Сколько можно пить алкоголя в неделю: The Lancet (600 тыс. чел.), NHS, ВОЗ — нормы в одной таблице. Допустимые дозы для мужчин и женщин в мл пива, вина и водки.","160","1122","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/mozhno-li-pit/","1","Можно ли пить алкоголь — да, если нет противопоказаний. Допустимые количества: 0,038 ЛЧА в день для мужчин, 0,025 ЛЧА для женщин. Когда пить нельзя — полный список противопоказаний.","181","1295","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/tolerantnost-k-alkogolyu/","1","Толерантность к алкоголю — адаптация мозга, при которой прежняя доза больше не даёт эффекта. Это ранний признак зависимости. Как развивается, чем опасна и как снизить.","167","1184","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/prichiny-upotrebleniya/","1","Причины употребления алкоголя — социальное давление, стресс и генетика. ВОЗ (2023): безопасного уровня нет. Как случайное употребление становится зависимостью.","159","1127","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kak-perestat-pit-kazhdyy-vecher/","1","Перестать пить каждый вечер мешает не слабая воля, а вечерний ритуал. Найдите триггер, замените привычку и зафиксируйте трезвые дни — пошаговый план.","149","1062","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/provaly-pamyati/","1","Провалы памяти после алкоголя — алкогольная амнезия. По данным NIAAA, риск начинается ориентировочно при ~1,6‰ (0,16% BAC). Механизм, виды, сигналы проблемы.","157","1140","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/pochemu-hochetsya-piva-vecherom/","1","Хочется пива вечером — это рефлекс или зависимость? По мере выведения алкоголя нервная система компенсирует торможение возбуждением. Как распознать переход от привычки к зависимости.","182","1322","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/pyu-ot-stressa/","1","Алкоголь временно снижает тревогу — затем нервная система компенсирует это возбуждением. Почему схема «пью от стресса» не работает и что действительно помогает.","160","1141","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/kak-zhit-s-pyushchim/","1","Контроль не помогает пьющему остановиться. Что реально работает для близких: границы, выход из созависимости, когда обращаться за помощью.","138","998","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kultura-pitiya/","1","Культура пития — конкретные правила употребления, а не эстетика. Умеренное употребление алкоголя: ориентиры NHS и NIAAA, трезвые дни, правила контроля.","151","1073","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/kalkulator-opyaneniya/","1","Рассчитайте промилле алкоголя в крови по формуле Видмарка: введите вес, пол, объём и крепость напитка. Онлайн-калькулятор + таблица степеней опьянения.","151","1072","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogol-i-son/","1","Алкоголь нарушает структуру сна: подавляет REM-фазу и вызывает частые пробуждения во второй половине ночи. Как это работает и когда сон восстанавливается.","154","1100","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/pivnoy-alkogolizm/","1","Пивной алкоголизм — не миф: 1 литр пива 5% в день в 3 раза превышает порог минимального риска (Lancet). Признаки зависимости, механизм формирования и критерии диагностики.","171","1220","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/vidy-alkogolnykh-napitkov/","1","Все виды алкоголя — пиво, вино, водка — содержат этанол. Вред зависит от дозы этанола, а не от вида напитка. Таблица крепости и формула расчёта дозы.","149","1038","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/alkogolnaya-zavisimost/","1","Алкогольная зависимость — клиническое расстройство. Критерии DSM-5, три стадии, ключевые симптомы и подходы к выходу: от краткосрочных интервенций до терапии.","158","1141","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/stress-i-alkogol/","1","Стресс активирует те же системы мозга, на которые действует алкоголь. Почему именно стресс делает алкоголь таким притягательным — и как из этого складывается ловушка.","166","1180","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/vliyanie-alkogolya-na-cheloveka/","1","Как алкоголь влияет на человека: что происходит с мозгом, психикой, сном и поведением. Почему расслабление краткосрочно, а тревога, тяга и толерантность потом растут.","166","1155","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kak-otkazatsya-v-kompanii/","1","5 тактик, чтобы отказаться от алкоголя в компании без неловкости: нейтральные фразы, безалкогольный напиток в руке и правило — не объяснять причин.","147","1043","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/alkogol-i-semya/","1","В парах с проблемным употреблением алкоголя риск развода повышается в 3–4 раза. Как алкоголь разрушает доверие, провоцирует конфликты и формирует созависимость.","160","1163","Indexable",""
"https://alkonorm.ru/articles/pochemu-hochetsya-alkogolya/alkogol-i-zhenshchiny/","1","У женщин ниже пресистемный метаболизм алкоголя и меньше воды в теле — при одинаковой дозе концентрация в крови выше. Риски для печени и зависимость развиваются быстрее.","168","1221","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/promille-alkogolya/","1","1 промилле = 1 г алкоголя на 1 л крови. Бутылка пива 0,5 л даёт 0,4–0,6‰, рюмка водки — 0,3–0,4‰. Таблица по напиткам, ступени опьянения и норма за рулём.","154","1059","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/kak-rasschitat-dozu/","1","Как рассчитать дозу алкоголя: формула ЛЧА, онлайн-калькулятор и таблица по напиткам. Сколько алкоголя можно выпить мужчине и женщине в день и в неделю — с пересчётом в промилле.","177","1272","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/slabost-posle-alkogolya/","1","Слабость после алкоголя — результат нескольких процессов: обезвоживания, нарушения сна, воспалительной реакции и действия ацетальдегида. Разбираем причины и 5 способов восстановиться.","183","1314","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/dopustimaya-norma-alkogolya/","1","Допустимая норма алкоголя: до 14 единиц в неделю (NHS), до 100 г чистого спирта (The Lancet). Таблица по странам, перевод в бокалы и рюмки, норма для мужчин и женщин.","166","1158","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogol-i-davlenie/","1","Алкоголь сначала снижает давление на несколько часов, при высоких дозах затем следует рикошетный подъём. При регулярном употреблении растёт риск гипертонии. Механизм и данные.","175","1257","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/brosit-pit/","1","Что происходит с организмом при отказе от алкоголя: синдром отмены начинается через 6–24 часа, пик — на 2–3 день. Симптомы, сроки и когда нужна помощь врача.","157","1113","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/kak-ne-spitsya/","1","Не спится после алкоголя — алкоголь нарушает REM-фазу сна, из-за чего организм не восстанавливается. Как не стать алкоголиком: лимиты, «сухие» дни, ранние признаки зависимости.","176","1234","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogol-i-sport/","1","Алкоголь снижает синтез мышечного белка на 24–37% в течение 8 часов после тренировки (Parr et al., PLOS ONE, 2014). Что происходит с мышцами и восстановлением.","159","1114","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/cherez-skolko-mozhno-pit/","1","Печень выводит алкоголь со скоростью 0,1–0,15‰ в час. После бокала вина — 1,5–2 ч, после бутылки — 7–10 ч. Таблица вывода и норма дней между эпизодами.","151","1070","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/alkogolnaya-intoksikatsiya/","1","Алкогольная интоксикация — острое отравление этанолом. Симптомы могут начинаться от ~0,2 ‰, угроза жизни — выше ~3,5–4,0 ‰. Степени, признаки и первая помощь.","158","1137","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/toshnit-posle-alkogolya/","1","Тошнота после алкоголя вызвана ацетальдегидом — токсином, который печень не успевает переработать. Причины тошноты, что реально помогает и когда нужна скорая.","158","1140","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/skolko-pyut-rossiyane/","1","41% россиян не пьют совсем, 3,4% пьют чрезмерно — данные крупнейшего эпидемиологического исследования ЭССЕ-РФ (28 685 человек, 2020–2022). Тренды с 2013 по 2022 год.","165","1175","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/vliyanie-na-organizm/","1","Как алкоголь влияет на организм человека: что происходит с печенью, сердцем, сосудами, мозгом и сном. Органы, риски и последствия при разовом и регулярном употреблении.","168","1179","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/umerennoe-upotreblenie/","1","Умеренное употребление алкоголя — не абстрактное «немного», а система личных правил. Lancet (2018): риск растёт выше ~100 г алкоголя в неделю. Принципы и инструменты контроля.","175","1238","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/priznaki-alkogolizma/","1","Признаки алкоголизма: 10 сигналов зависимости, 9 из которых — критерии DSM-5. 2 признака из 11 за год — уже расстройство. Как отличить зависимость от привычки.","159","1120","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/vyvedenie-alkogolya/","1","Печень перерабатывает 1 стандартную единицу (~10 г спирта) за 1–1,5 ч. Ускорить выведение алкоголя невозможно. Таблица по напиткам и разбор мифов.","146","1042","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/priznaki-opyaneniya/","1","Признаки алкогольного опьянения по степеням: лёгкая (~0,5–1,5‰) — эйфория и снижение реакции, средняя (~1,5–2,5‰) — смазанная речь, тяжёлая (~2,5–3,5‰) — кома. Таблица признаков.","178","1267","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogol-i-beremennost/","1","Алкоголь и беременность: дозы с минимальным риском нет — ВОЗ (2023). Что происходит с плодом в каждом триместре и что делать, если выпила до того, как узнала.","158","1110","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/silnoe-pokhmele/","1","Сильное похмелье возникает из-за конгенеров, обезвоживания, плохого сна и индивидуальных факторов. Что делать и когда это тревожный сигнал.","139","991","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/individualnaya-norma-alkogolya/","1","Индивидуальная норма алкоголя — доза, вызывающая лёгкое опьянение без асоциальных последствий. Что такое базальный метаболизм этанола, разовая и суточная дозы.","159","1162","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/rand-issledovanie-alkogolizm/","1","Исследование RAND Corporation: 18% пациентов вернулись к умеренному употреблению без последствий. Кому подходит контролируемое употребление, а кому — только полный отказ.","170","1219","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/alkogolik-ili-pyyanitsa/","1","Чем отличается алкоголик от пьяницы: пьяница контролирует выбор, алкоголик — нет. Разбираем критерии МКБ-11 и где проходит граница зависимости.","143","1025","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/pyu-kazhdyy-den/","1","Пьёте алкоголь каждый день? Разбираем механизм ежедневной привычки, пошаговый план введения «сухих» дней и признаки, при которых нужна консультация врача.","154","1123","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogol-i-lekarstva/","1","Десятки распространённых препаратов взаимодействуют с алкоголем — данные NIAAA. Разбираем самые опасные сочетания: антибиотики, обезболивающие, антидепрессанты, снотворные.","172","1268","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/snizhenie-potrebleniya-alkogolya/","1","Снижение потребления алкоголя снижает смертность и риск болезней даже без полного отказа. Что говорит наука, какие методы работают и как начать пить меньше.","156","1112","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/alkogol-kak-privychka/","1","Привычка пить алкоголь формируется через петлю триггер–действие–награда. Как распознать механизм и изменить поведение — конкретные шаги без силы воли.","150","1091","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/zhenskiy-alkogolizm/","1","У женщин алкогольная зависимость развивается быстрее при меньших дозах. Признаки, причины и последствия женского алкоголизма — с объяснением биологического механизма.","166","1214","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogolnoe-opyanenie/","1","Алкогольное опьянение — от 0,5‰. Три степени: лёгкая (0,5–1,5‰), средняя (1,5–2,5‰), тяжёлая (2,5–4,0‰). Признаки каждой степени и что происходит с организмом.","159","1101","Indexable",""
"https://alkonorm.ru/articles/kak-ne-napitsya.html","1","Уже начали пить и хотите не уйти в опьянение? Правило трёх заранее, контроль темпа, паузы и стоп-точка — как замедлиться и вовремя остановиться по ходу вечера.","159","1108","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kak-menshe-pit/","1","Как меньше пить алкоголь: 7 рабочих стратегий с объяснением механизма каждой — лимит до начала, счёт в процессе, темп, вода, стоп-машина и дни без алкоголя.","156","1088","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/norma-alkogolya-za-rulem/","1","Норма алкоголя за рулём в России — 0,16 мг/л в выдыхаемом воздухе (0,3 г/л при анализе крови). Таблица по странам, через сколько можно сесть за руль, штрафы по ст. 12.8 КоАП.","174","1203","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/voz-ob-alkogole/","1","ВОЗ в 2023 году подтвердила: безопасной дозы алкоголя не существует. Что это значит практически, какие нормы действуют в разных странах и как с ними работать.","158","1110","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/pokhmele-na-rabote/","1","Симптомы похмелья и когнитивные нарушения могут сохраняться до суток и дольше. Что делать с похмельем на работе и как его предотвратить накануне рабочего дня.","158","1126","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/pivo-kazhdyy-den/","1","Что будет, если пить бутылку пива каждый день? Через месяц — толерантность, через год — риск зависимости. Данные NHS и The Lancet о реальных последствиях.","154","1084","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/alkogolnaya-depressiya/","1","Алкоголь — депрессант ЦНС: временное облегчение сменяется подавленностью. Что происходит в мозге, почему после выпивки становится хуже и как разорвать круг.","156","1111","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/norma-v-nedelyu/","1","Норма алкоголя в неделю: NHS — 14 единиц (112 г / 0,140 ЛЧА), The Lancet — 100 г, CCSA Канада 2023 — 2 порции. Таблица по 6 странам, перевод в напитки, нормы в день, месяц и год.","178","1206","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/stadii-opyaneniya/","1","Стадии алкогольного опьянения: лёгкая (0,5–1,5‰), средняя (1,5–2,5‰), тяжёлая (2,5–3,5‰) и кома (свыше 3,5–4,0‰). Признаки каждой стадии и что происходит в организме.","166","1158","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/pokhmelye/","1","Почему болит голова и тошнит после алкоголя: механизм похмелья — ацетальдегид, обезвоживание, воспаление. Сколько длится и почему с возрастом становится хуже.","158","1126","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kak-izbavitsya-ot-privychki-pit/","1","Как избавиться от привычки пить алкоголь за 5 шагов: выявить шаблон, найти триггеры, составить план и удержать результат. Разбор без советов «просто не пей».","157","1096","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/sostoyanie-opyaneniya/","1","Состояние алкогольного опьянения: медицинское определение — по клиническим нарушениям, юридическое за рулём — 0,3 г/л в крови или 0,16 мг/л в выдохе. Степени, освидетельствование, санкции.","188","1327","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/polza-umerennogo-alkogolya/","1","Умеренный алкоголь (до 20 г этанола в день) снижает риск ИБС, инсульта и диабета 2-го типа — данные метаанализов с участием миллионов человек. Разбираем механизмы и границы.","173","1231","Indexable",""
"https://alkonorm.ru/articles/skolko-mozhno-pit/norma-alkogolya-dlya-pozhilykh/","1","71,5% пожилых россиян пьют более 20 г чистого алкоголя в день. Что говорят исследования о норме алкоголя после 60 лет и почему японский порог 20 г не подходит России.","166","1152","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/kak-ne-napitsya/","1","Как не напиться в компании на вечеринке или застолье: лимит до начала, темп, нейтральный отказ и тактики против социального давления. 7 конкретных приёмов.","155","1094","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/alkogol-i-rabota/","1","Алкоголь накануне рабочего дня нарушает сон и снижает концентрацию через несколько механизмов — даже когда этанол уже выведен. Как выпивка влияет на работу и карьеру.","166","1192","Indexable",""
